#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:2021-03-21_OMPuniprot_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.2021-03-21_OMPuniprot_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:2021-03-21_OMPuniprot_muscle" name="distribution" x="@birthRate.t:2021-03-21_OMPuniprot_muscle">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:2021-03-21_OMPuniprot_muscle" name="distribution">
#            <parameter id="gammaShape.s:2021-03-21_OMPuniprot_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2021-03-21_OMPuniprot_muscle" id="treeLikelihood.2021-03-21_OMPuniprot_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2021-03-21_OMPuniprot_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:2021-03-21_OMPuniprot_muscle" shape="@gammaShape.s:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2021-03-21_OMPuniprot_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2021-03-21_OMPuniprot_muscle" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:2021-03-21_OMPuniprot_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	YuleModel	birthRate
24000	-55069.910925376294	-54864.883351200486	-205.0275741758076	-54864.883351200486	10.125740254721856	4.782136051319875	-200.24543812448772	0.5813855972679226
25000	-55023.15566601767	-54820.86594632353	-202.28971969414215	-54820.86594632353	8.70925653220094	4.782136051319875	-197.50758364282228	0.5196799143324402
26000	-55007.420927753374	-54797.53934141552	-209.88158633785454	-54797.53934141552	10.089163160027733	4.782136051319875	-205.09945028653468	0.4475219428750609
27000	-54983.731116394076	-54779.504453854206	-204.22666253987035	-54779.504453854206	9.045483298152575	3.0710393190293077	-201.15562322084105	0.5659877324664725
28000	-54985.260745401836	-54772.03724468809	-213.22350071374746	-54772.03724468809	10.84936374056303	3.0710393190293077	-210.15246139471816	0.49947330247459215
29000	-54975.12542603186	-54767.03519065943	-208.09023537242925	-54767.03519065943	9.552397284263478	3.0710393190293077	-205.01919605339995	0.5573066100329461
30000	-54977.30983348684	-54762.9020979949	-214.40773549194085	-54762.9020979949	10.936345394441382	3.0710393190293077	-211.33669617291156	0.5273378587017379
31000	-54979.512070220524	-54763.345916359925	-216.16615386059556	-54763.345916359925	10.644876966910912	3.0710393190293077	-213.09511454156626	0.5198688724657333
32000	-54971.2136187033	-54752.99410505534	-218.2195136479654	-54752.99410505534	10.751013744893738	3.0710393190293077	-215.14847432893612	0.48446803463467303
33000	-54964.5679579795	-54752.34713336387	-212.22082461563255	-54752.34713336387	9.756170695658552	3.0710393190293077	-209.14978529660326	0.5858216913772148
34000	-54985.56504693173	-54772.09733740371	-213.4677095280204	-54772.09733740371	10.123772842595534	3.0710393190293077	-210.3966702089911	0.49933688179392877
35000	-54976.41471504347	-54758.566296087694	-217.84841895577898	-54758.566296087694	10.568914786176297	3.0710393190293077	-214.77737963674969	0.47750191089359095
36000	-54963.122968394586	-54749.77692282621	-213.346045568377	-54749.77692282621	10.23880348304146	3.0710393190293077	-210.2750062493477	0.49283139087024314
37000	-54978.786775213484	-54761.92344829799	-216.86332691549563	-54761.92344829799	9.980972798327464	3.0710393190293077	-213.79228759646634	0.40310410873692093
38000	-54972.27413857157	-54752.58243512775	-219.69170344382493	-54752.58243512775	10.95130824920821	3.0710393190293077	-216.62066412479564	0.541013355231132
39000	-54957.99476369966	-54747.2816691916	-210.71309450805595	-54747.2816691916	10.980443471327499	3.8490347226633594	-206.86405978539258	0.5632220410031659
40000	-54965.691503502174	-54753.73245991939	-211.95904358278435	-54753.73245991939	10.677242436358624	3.8490347226633594	-208.11000886012098	0.47526539416541563
41000	-54973.85468278097	-54765.08379636303	-208.77088641793898	-54765.08379636303	10.653920919101402	3.8490347226633594	-204.92185169527562	0.5158081283404762
42000	-54970.58994893183	-54759.98925667989	-210.60069225194152	-54759.98925667989	10.95628584269005	3.8490347226633594	-206.75165752927816	0.571907710633051
43000	-54977.334306985504	-54762.95926529144	-214.3750416940617	-54762.95926529144	11.874418631662838	3.8490347226633594	-210.52600697139835	0.538302217762601
44000	-54957.01066950164	-54745.906866949634	-211.10380255200147	-54745.906866949634	10.341641759464668	3.8490347226633594	-207.2547678293381	0.5077870524413024
45000	-54969.5250427993	-54757.323487969246	-212.20155483005414	-54757.323487969246	9.974951206678055	3.8490347226633594	-208.35252010739077	0.5515220563853744
46000	-54953.33217106458	-54747.755814370445	-205.57635669413798	-54747.755814370445	8.975938028764741	3.8490347226633594	-201.72732197147462	0.548519424899945
47000	-54967.355808407396	-54753.725340903686	-213.6304675037133	-54753.725340903686	9.904856224635894	3.8490347226633594	-209.78143278104994	0.5561215842908992
48000	-54963.08601717069	-54751.67487293521	-211.41114423547964	-54751.67487293521	9.51579947216034	3.381184446930444	-208.0299597885492	0.47235309230144407
49000	-54959.715257395794	-54746.89192091541	-212.82333648038332	-54746.89192091541	9.974157326570761	3.435141089567915	-209.3881953908154	0.5626551326439038
50000	-54962.68007599784	-54746.21272484925	-216.4673511485969	-54746.21272484925	10.16502319891689	3.2716194646437815	-213.1957316839531	0.6379234220805293
51000	-54967.521226795856	-54757.64149022002	-209.8797365758392	-54757.64149022002	10.00684654717259	3.6160874266436456	-206.26364914919554	0.5973840362184127
52000	-54956.416595182585	-54750.75609603074	-205.66049915184632	-54750.75609603074	9.09558128624145	3.6160874266436456	-202.04441172520268	0.6131754005076366
53000	-54959.73141782507	-54750.850420418275	-208.88099740679374	-54750.850420418275	9.385425733781348	3.6160874266436456	-205.2649099801501	0.5444080426223112
54000	-54965.44139647368	-54760.39625623203	-205.04514024165044	-54760.39625623203	9.447793539040735	3.6160874266436456	-201.4290528150068	0.6413510900740638
55000	-54968.811235187386	-54760.087754938955	-208.72348024843177	-54760.087754938955	9.615324578105595	3.6160874266436456	-205.10739282178812	0.5780483124748018
56000	-54978.84096807535	-54762.1592927218	-216.6816753535465	-54762.1592927218	9.736807491885047	3.6160874266436456	-213.06558792690285	0.6088156597112432
57000	-54951.0845435342	-54742.03257148156	-209.051972052632	-54742.03257148156	9.148680158847416	3.6160874266436456	-205.43588462598836	0.47619767859078993
58000	-54955.97105208955	-54742.57519605927	-213.39585603028883	-54742.57519605927	10.015323170770868	3.6160874266436456	-209.77976860364518	0.49264922787802296
59000	-54944.91195634329	-54737.75898200159	-207.15297434169725	-54737.75898200159	9.10399721383091	3.6160874266436456	-203.5368869150536	0.5963099697098474
60000	-54945.69277265935	-54737.808500326886	-207.8842723324665	-54737.808500326886	9.858428913426671	3.6160874266436456	-204.26818490582286	0.559281855658684
61000	-54955.043429270605	-54744.57436753185	-210.46906173875047	-54744.57436753185	9.650141140985141	3.226844590302998	-207.24221714844748	0.48185150547095124
62000	-54956.1070048564	-54742.46844309559	-213.63856176081043	-54742.46844309559	9.783289146350223	3.226844590302998	-210.41171717050744	0.6151313075707807
63000	-54962.03678375752	-54748.02897488924	-214.0078088682811	-54748.02897488924	9.814480858785162	3.4512725216551323	-210.55653634662596	0.5476755344980185
64000	-54965.800683745925	-54748.931370082595	-216.8693136633325	-54748.931370082595	10.132780341250387	2.7974310741407646	-214.07188258919172	0.4771583170039965
65000	-54957.73931712854	-54741.141920074544	-216.59739705398925	-54741.141920074544	10.232449228322546	2.7974310741407646	-213.79996597984848	0.5693889162879999
66000	-54954.14092596455	-54739.12935963498	-215.01156632957523	-54739.12935963498	10.714014692706531	2.991804238313714	-212.01976209126153	0.46939007050000703
67000	-54934.68551810191	-54723.23971999306	-211.44579810885742	-54723.23971999306	9.857320198022878	2.991804238313714	-208.4539938705437	0.6298046916647707
68000	-54969.32255335487	-54739.1990125498	-230.12354080507058	-54739.1990125498	13.00333848724102	2.991804238313714	-227.13173656675687	0.4608760491972939
69000	-54942.78640949173	-54729.16384636323	-213.62256312850067	-54729.16384636323	10.614892977147065	3.2653565323256903	-210.357206596175	0.5138567037432812
70000	-54946.73289798434	-54731.54141359263	-215.19148439170425	-54731.54141359263	10.369468465978033	3.4529719962346612	-211.7385123954696	0.4544215039747763
71000	-54946.52357219658	-54732.832373744895	-213.6911984516866	-54732.832373744895	10.418106513380968	3.4529719962346612	-210.23822645545195	0.5139665625230625
72000	-54955.99332228073	-54746.16044495939	-209.83287732134565	-54746.16044495939	10.248313664232118	3.4529719962346612	-206.379905325111	0.6004950586337532
73000	-54949.116087053146	-54738.49892452086	-210.6171625322795	-54738.49892452086	10.16080055242351	3.4529719962346612	-207.16419053604486	0.5737649515434505
74000	-54949.77293378683	-54743.74910568205	-206.02382810477513	-54743.74910568205	9.671662066701785	3.4529719962346612	-202.57085610854048	0.5520908693115025
75000	-54946.08847468202	-54734.29996137279	-211.7885133092376	-54734.29996137279	10.277771735156348	3.4529719962346612	-208.33554131300295	0.7057717013396257
76000	-54935.90267456044	-54732.19697233103	-203.70570222940762	-54732.19697233103	9.701440482486095	3.503786014704984	-200.20191621470263	0.5461586724594413
77000	-54954.92252781627	-54746.2245713654	-208.69795645087555	-54746.2245713654	10.116365828825838	3.503786014704984	-205.19417043617057	0.5196001891772102
78000	-54950.3451282621	-54745.56522387026	-204.77990439183912	-54745.56522387026	10.184181968989458	3.1738099944857794	-201.60609439735336	0.6016392151335235
79000	-54953.821390951285	-54745.747668638454	-208.07372231283017	-54745.747668638454	10.406378640411381	3.0932932238200053	-204.98042908901016	0.5545253699593892
80000	-54962.68556605849	-54739.10863972463	-223.5769263338569	-54739.10863972463	10.841176996927997	3.0932932238200053	-220.4836331100369	0.5756120713052558
