#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:2021-06-11_OMPuniprot_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.2021-06-11_OMPuniprot_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:2021-06-11_OMPuniprot_muscle" name="distribution" x="@birthRate.t:2021-06-11_OMPuniprot_muscle">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:2021-06-11_OMPuniprot_muscle" name="distribution">
#            <parameter id="gammaShape.s:2021-06-11_OMPuniprot_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PropInvariantPrior.s:2021-06-11_OMPuniprot_muscle" name="distribution">
#            <parameter id="proportionInvariant.s:2021-06-11_OMPuniprot_muscle" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:2021-06-11_OMPuniprot_muscle" name="distribution">
#            <parameter id="ucldStdev.c:2021-06-11_OMPuniprot_muscle" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2021-06-11_OMPuniprot_muscle" id="treeLikelihood.2021-06-11_OMPuniprot_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2021-06-11_OMPuniprot_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:2021-06-11_OMPuniprot_muscle" proportionInvariant="@proportionInvariant.s:2021-06-11_OMPuniprot_muscle" shape="@gammaShape.s:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2021-06-11_OMPuniprot_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <substModel id="JTT.s:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:2021-06-11_OMPuniprot_muscle">
#                <LogNormal S="@ucldStdev.c:2021-06-11_OMPuniprot_muscle" id="LogNormalDistributionModel.c:2021-06-11_OMPuniprot_muscle" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="234" id="rateCategories.c:2021-06-11_OMPuniprot_muscle" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:2021-06-11_OMPuniprot_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	proportionInvariant	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-125847.12023657099	-125838.44433413849	-8.675902432498935	-125838.44433413849	1.2765527369219902	-8.944764044554631	1.0	0.0	1.0	0.05004667668838787	0.9956436591353554	0.0027136395757573067	0.05218970559797992
1000	-82655.5712570643	-82358.2907306595	-297.2805264047963	-82358.2907306595	22.450268298315493	-294.0837403545896	0.7274006302060331	0.0	1.0	0.8712460374897827	1.0615991228248907	1.0515429654206023	0.9832917578200557
2000	-73876.9175387679	-73603.13013914287	-273.7873996250265	-73603.13013914287	26.88353222267223	-268.9752204227714	0.2684059488213662	0.0	0.9331136200534955	1.42695971608543	0.8949715494320897	3.6566054392064	1.928301340190278
3000	-68153.9711135204	-67853.02433021268	-300.9467833077144	-67853.02433021268	31.27303312529951	-295.20077232270455	0.22223356658256208	0.0	0.9331136200534955	1.747918428384699	0.5332227481672716	6.076610448063391	2.7256204333278378
4000	-63886.508242082135	-63588.878733949794	-297.6295081323398	-63588.878733949794	39.23672189745265	-291.5356833168863	0.20598320857747573	0.0	0.9331136200534955	1.8689744258299106	0.4355907195028126	7.463664737698866	3.055139282094982
5000	-62472.50020844668	-62119.88255172004	-352.617656726647	-62119.88255172004	55.63754360751741	-345.932887295667	0.17215976353266668	0.0	0.9331136200534955	2.0761705782116837	0.3530235729962904	9.75998260068274	3.957790537159657
6000	-61953.07694179659	-61580.593926220536	-372.4830155760604	-61580.593926220536	62.66579819402435	-365.71327510224603	0.12670070178454584	0.0	0.7139383296607615	2.1834645514917845	0.32958251566447466	11.071619168823519	4.377567303966266
7000	-61435.95920120486	-61059.99655145707	-375.9626497477854	-61059.99655145707	55.084036916559675	-369.19290927397105	0.1119648201484593	0.0	0.7139383296607615	2.1834645514917845	0.4394403855232678	11.06814518691462	4.272345179627744
8000	-60670.51703337693	-60306.76306550324	-363.75396787368993	-60306.76306550324	52.13477378027332	-356.9842273998756	0.13004711508898345	0.0	0.7139383296607615	2.1834645514917845	0.3763927841203152	11.107696817530153	4.256355960151568
9000	-59552.167061713066	-59157.61927746153	-394.54778425153864	-59157.61927746153	70.32208372298912	-387.04498018135314	0.11295052352844666	0.0	0.7139383296607615	2.4436285145549705	0.316784364319653	14.337556984251368	5.328203637833116
10000	-59084.67711793154	-58660.26715928326	-424.40995864827886	-58660.26715928326	80.8021653135386	-416.8646017467994	0.07058150764001715	0.0	0.756491160954746	2.4436285145549705	0.3352464784829351	2.4319272171402626	2.8795674738317114
11000	-58770.52696869898	-58346.412009285516	-424.1149594134643	-58346.412009285516	77.11982775750825	-416.27934420167895	0.07180134475858233	0.0	0.756491160954746	2.547180799244068	0.34524741594780767	2.197285444257308	2.965885637013069
12000	-57516.34972967348	-57081.40984053438	-434.9398891390979	-57081.40984053438	87.66766417127884	-426.89349133576997	0.08036491745813949	0.0	0.756491160954746	2.622551472980507	0.32137294099223634	2.001707180849928	3.033666420001495
13000	-56884.534097025935	-56454.30310137621	-430.23099564972813	-56454.30310137621	88.40001034815948	-422.1845978464002	0.06363112773270235	0.0	0.756491160954746	2.622551472980507	0.34060633253058104	1.7821405295827373	2.876478147598056
14000	-55982.93851634385	-55567.00995108688	-415.9285652569687	-55567.00995108688	80.01878371377121	-407.88216745364076	0.08662211703602879	0.0	0.756491160954746	2.622551472980507	0.341775191184899	1.815650497052452	2.8935997869497254
15000	-55717.407404461715	-55291.38421453965	-426.0231899220648	-55291.38421453965	121.73121226006812	-417.97679211873685	0.08033431046807618	0.0	0.756491160954746	2.622551472980507	0.31925849665682415	1.7985347662978255	2.9156000121606414
16000	-55056.01713318833	-54629.62380899131	-426.393324197019	-54629.62380899131	111.26179246778617	-418.20151227241234	0.07609091376844297	0.0	0.756491160954746	2.67462791715318	0.2927632461386052	1.8607388881610312	2.9369069369126155
17000	-54842.52481104526	-54415.695738863666	-426.8290721815958	-54415.695738863666	84.15918018864896	-418.5833975784255	0.07977194404726269	0.0	0.756491160954746	2.693933506692972	0.3257365593162361	1.8209798251864149	2.9354495032869705
