#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:uniprotOMP_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:uniprotOMP_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:uniprotOMP_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.uniprotOMP_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:uniprotOMP_muscle" name="distribution" x="@birthRate.t:uniprotOMP_muscle">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:uniprotOMP_muscle" name="distribution">
#            <parameter id="gammaShape.s:uniprotOMP_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@uniprotOMP_muscle" id="treeLikelihood.uniprotOMP_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:uniprotOMP_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:uniprotOMP_muscle" shape="@gammaShape.s:uniprotOMP_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:uniprotOMP_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:uniprotOMP_muscle" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:uniprotOMP_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:uniprotOMP_muscle" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:uniprotOMP_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape
25000	-118653.90442425592	-118547.46449839824	-106.4399258576735	-118547.46449839824	4.081903043063852	-101.90031554222205	1.112845476611916	3.42676483883955
26000	-118670.52205563505	-118565.5264946526	-104.99556098245391	-118565.5264946526	3.905031816253731	-100.34439933919255	1.2243968044218123	3.42676483883955
27000	-118651.34329458725	-118544.9670069002	-106.37628768703931	-118544.9670069002	3.9388255830301175	-101.68581181172763	1.1312924442898056	3.559183431021861
28000	-118625.02042811389	-118516.67849264349	-108.3419354703978	-118516.67849264349	4.228628956170368	-103.70441377443244	1.078338264943497	3.559183431021861
29000	-118616.45876121575	-118512.57443875594	-103.8843224598083	-118512.57443875594	3.8540911608610324	-98.88030828217916	1.444830746607274	3.559183431021861
30000	-118601.38205142715	-118494.018515562	-107.3635358651577	-118494.018515562	3.96133704028945	-102.89399220103596	0.9104827692804479	3.559060894841294
31000	-118593.35348668846	-118489.29041742404	-104.06306926442379	-118489.29041742404	4.042170481436658	-99.26103075127259	1.2429776183099073	3.559060894841294
32000	-118590.25830918163	-118486.00073041714	-104.25757876448206	-118486.00073041714	4.231396506222054	-99.57668728149962	1.1218305881411577	3.559060894841294
33000	-118585.22637631414	-118477.36293138024	-107.86344493390472	-118477.36293138024	4.053839050450697	-103.28497602506387	1.0194080139995472	3.559060894841294
34000	-118582.85804506406	-118478.48945308797	-104.36859197608395	-118478.48945308797	4.158855687919312	-99.6157532215429	1.1937778596997546	3.559060894841294
35000	-118587.93355056713	-118485.63202105349	-102.301529513647	-118485.63202105349	3.922192449706467	-97.41589566981249	1.326572948993224	3.559060894841294
36000	-118584.204696578	-118483.22385645102	-100.98084012697856	-118483.22385645102	4.103291610693332	-96.22430837482797	1.1974708573093016	3.559060894841294
37000	-118586.3909904783	-118486.7136595595	-99.67733091881531	-118486.7136595595	3.7935786784359253	-94.81711554261972	1.3011544813543037	3.559060894841294
38000	-118590.87475204197	-118483.27148466717	-107.6032673748018	-118483.27148466717	3.938527318505404	-102.8174812409198	1.2267252390407082	3.559060894841294
39000	-118579.99046237944	-118477.04324917836	-102.94721320108725	-118477.04324917836	3.9962330941535344	-97.9840408229808	1.4041114832651476	3.559060894841294
40000	-118593.4047452959	-118492.45636384137	-100.94838145453532	-118492.45636384137	3.844414875350942	-95.9426013637875	1.4467191959065258	3.559060894841294
41000	-118599.38060837798	-118496.2543451662	-103.12626321177727	-118496.2543451662	3.9344789606606136	-98.31668199847398	1.2505203184619886	3.559060894841294
42000	-118575.04156440313	-118473.91866568604	-101.12289871709098	-118473.91866568604	3.822485775538119	-96.43796857142733	1.1258692508223458	3.559060894841294
43000	-118570.7935061317	-118465.95042312928	-104.84308300241811	-118465.95042312928	4.0288104124698965	-100.01539418757041	1.268627920006413	3.559060894841294
44000	-118560.01378418371	-118455.62079854234	-104.39298564137218	-118455.62079854234	3.931581808344523	-99.62952018555902	1.204404560971869	3.559060894841294
45000	-118568.58084607497	-118462.36518855882	-106.21565751615226	-118462.36518855882	3.9742588997229875	-101.47671787740758	1.1798787439033884	3.559060894841294
46000	-118559.94175967315	-118453.9363797203	-106.00537995285909	-118453.9363797203	4.439353387183858	-101.2279779676066	1.218341090411184	3.559060894841294
